CurrencyName,CurrencyCode,Current Rate,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020
Saudi Arabian Riyal,SAR,2.794331,2.801892,2.744335,2.751576,2.757444,2.727866,2.690708,2.663932,2.647322,2.61356,2.691427,2.747427,2.784243
South African Rand,ZAR,10.946957,11.414382,11.878263,12.220464,12.233413,12.404174,12.259152,12.369202,13.325338,12.631287,11.246674,10.988278,10.414328
Sri Lankan Rupee,LKR,148.741517,139.047485,134.874814,135.64165,136.682368,134.733821,133.676242,132.136474,134.50055,132.122558,130.536225,132.924417,134.645046
Swedish Krona,SEK,6.309231,6.356085,6.516902,6.546765,6.378129,6.386202,6.66651,6.669349,6.943738,7.000909,6.897088,7.051341,6.951719
Swiss Franc,CHF,0.688509,0.672829,0.671423,0.67359,0.667106,0.66468,0.678422,0.682973,0.677759,0.674359,0.692556,0.705843,0.720778
Taiwan New Dollar,TWD,21.112449,21.330961,20.954865,21.194849,21.595169,21.371753,21.130243,21.25169,21.10568,21.121741,21.653039,22.26283,22.208348
Thai Baht,THB,22.928026,22.623992,22.813349,23.167188,22.928911,22.745445,22.266904,22.486235,22.964105,23.025683,22.626227,22.857327,22.044150
Trinidadian Dollar,TTD,5.056995,5.065151,4.971333,4.978522,4.978644,4.902409,4.834655,4.796238,4.770919,4.719671,4.868808,4.92687,5.010954
Turkish Lira,TRY,5.58764,5.869286,6.107571,5.677517,5.420503,5.070702,4.914348,4.842041,4.964834,4.665372,4.479174,4.382861,4.416688
Emirati Dirham,AED,2.736582,2.743986,2.687618,2.69471,2.700457,2.67149,2.6351,2.608877,2.592611,2.559547,2.635804,2.690646,2.726702
British Pound,GBP,0.534423,0.557975,0.565354,0.568945,0.548222,0.555964,0.575133,0.569684,0.564337,0.562179,0.559807,0.554869,0.559710
US Dollar,USD,0.745155,0.747171,0.731823,0.733754,0.735318,0.727431,0.717522,0.710382,0.705953,0.696949,0.717714,0.732647,0.742465
Venezuelan Bolivar,VEF,7.442236,7.462372,7.309078,7.328363,7.343992,7.265216,7.166254,7.094939,7.050702,6.960782,7.168166,7.317313,7.415367
